Date,low_regime,high_regime
2020-03-06,5.122926227786775e-07,0.9999994877073769
2020-03-09,5.054520074211063e-06,0.9999949454799255
2020-03-10,4.41095534562398e-06,0.999995589044654
2020-03-11,2.248079504479828e-05,0.9999775192049549
2020-03-12,0.00012147723748450403,0.9998785227625152
2020-03-13,0.0003683155507385001,0.9996316844492611
2020-03-16,0.001908767727934314,0.9980912322720654
2020-03-17,0.006539658273253898,0.9934603417267457
2020-03-18,0.01644808643304429,0.9835519135669553
2020-03-19,0.019630266672764816,0.9803697333272348
2020-03-20,0.021447364504853277,0.9785526354951463
2020-03-23,0.022048145908705748,0.9779518540912938
2020-03-24,0.0219440807389379,0.9780559192610615
2020-03-25,0.0215716847188862,0.9784283152811133
2020-03-26,0.020964370681966982,0.9790356293180325
2020-03-27,0.020388392647347302,0.979611607352652
2020-03-30,0.01931260007718503,0.9806873999228142
2020-03-31,0.017066576369702383,0.9829334236302969
2020-04-01,0.014017021882267628,0.9859829781177317
2020-04-02,0.009564221731292288,0.990435778268707
2020-04-03,0.005668111770461627,0.9943318882295377
2020-04-06,0.002876944605750924,0.9971230553942483
2020-04-07,0.0012553497152420932,0.998744650284757
2020-04-08,0.00045974622402212667,0.999540253775977
2020-04-09,0.00013455947820534305,0.9998654405217937
2020-04-10,3.7378232141780564e-05,0.9999626217678574
2020-04-13,1.2297883316512312e-05,0.9999877021166828
2020-04-14,6.1570111697347255e-06,0.9999938429888293
2020-04-15,8.583114623975285e-06,0.9999914168853752
2020-04-16,8.225244727143454e-06,0.9999917747552719
2020-04-17,9.757451299351546e-06,0.9999902425486997
2020-04-20,1.7883766018896804e-05,0.9999821162339803
2020-04-21,2.8644146225114705e-05,0.999971355853774
2020-04-22,2.304896460944753e-05,0.9999769510353896
2020-04-23,1.4537051977324905e-05,0.9999854629480216
2020-04-24,1.0519302544645704e-05,0.9999894806974543
2020-04-27,8.446782990573503e-06,0.9999915532170083
2020-04-28,6.630402475652614e-06,0.9999933695975233
2020-04-29,4.7551247547890275e-06,0.999995244875244
2020-04-30,7.453444379340377e-06,0.9999925465556196
2020-05-01,1.0836623409652855e-05,0.9999891633765893
2020-05-04,9.387426034618342e-06,0.9999906125739645
2020-05-05,6.578531068287878e-06,0.9999934214689308
2020-05-06,7.152275875095075e-06,0.999992847724124
2020-05-07,5.793410849842119e-06,0.9999942065891492
2020-05-08,4.6263881732904235e-06,0.9999953736118258
2020-05-11,4.821264064492406e-06,0.9999951787359345
2020-05-12,4.879653412692907e-06,0.9999951203465861
2020-05-13,5.25170272588005e-06,0.999994748297273
2020-05-14,4.544156896573583e-06,0.9999954558431023
2020-05-15,4.251194329103188e-06,0.9999957488056699
2020-05-18,2.9221170939202145e-06,0.999997077882905
2020-05-19,2.3065146773423746e-06,0.9999976934853216
2020-05-20,1.3243632489952502e-06,0.9999986756367502
2020-05-21,1.1855541447848123e-06,0.9999988144458543
2020-05-22,1.5438360767195335e-06,0.9999984561639225
2020-05-25,1.5417923688935404e-06,0.9999984582076306
2020-05-26,1.1074557475395279e-06,0.9999988925442519
2020-05-27,1.1372868490090755e-06,0.9999988627131503
2020-05-28,9.303195473844994e-07,0.9999990696804519
2020-05-29,7.669856110306012e-07,0.9999992330143884
2020-06-01,4.7129342955158016e-07,0.9999995287065699
2020-06-02,3.91302666687363e-07,0.9999996086973328
2020-06-03,3.8317562113535387e-07,0.9999996168243784
2020-06-04,4.822765561754301e-07,0.9999995177234433
2020-06-05,3.96180575418777e-07,0.999999603819424
2020-06-08,3.232404286106401e-07,0.9999996767595706
2020-06-09,3.7679555564666096e-07,0.9999996232044436
2020-06-10,3.6928111019550694e-07,0.9999996307188891
2020-06-11,7.520802168602913e-07,0.9999992479197822
2020-06-12,6.462029105770236e-07,0.9999993537970886
2020-06-15,5.953380993255309e-07,0.9999994046619001
2020-06-16,6.19213419452185e-07,0.9999993807865798
2020-06-17,6.503140656888564e-07,0.9999993496859334
2020-06-18,6.782274742494819e-07,0.999999321772525
2020-06-19,5.576103838209779e-07,0.9999994423896155
2020-06-22,4.835468167891027e-07,0.9999995164531825
2020-06-23,4.328725915418051e-07,0.9999995671274078
2020-06-24,5.815134380628289e-07,0.9999994184865613
2020-06-25,4.83984785790153e-07,0.9999995160152134
2020-06-26,6.511256877730363e-07,0.9999993488743113
2020-06-29,7.522478965872285e-07,0.9999992477521025
2020-06-30,1.2184208287965485e-06,0.9999987815791704
2020-07-01,1.0644571024837369e-06,0.9999989355428968
2020-07-02,9.95867653445373e-07,0.9999990041323457
2020-07-03,1.432904275996559e-06,0.999998567095723
2020-07-06,1.6774620253099965e-06,0.9999983225379737
2020-07-07,1.3891807312407198e-06,0.999998610819268
2020-07-08,1.2685196875748276e-06,0.9999987314803115
2020-07-09,1.0961251973966376e-06,0.9999989038748016
2020-07-10,1.0421174626712145e-06,0.9999989578825365
2020-07-13,1.1600894363077477e-06,0.9999988399105628
2020-07-14,1.1563978504366951e-06,0.9999988436021486
2020-07-15,1.1618294493768084e-06,0.9999988381705497
2020-07-16,1.5139898381680035e-06,0.999998486010161
2020-07-17,1.7217478091799232e-06,0.9999982782521899
2020-07-20,1.4253770556582977e-06,0.9999985746229433
2020-07-21,1.0488287275660005e-06,0.9999989511712715
